Country,Clicks,Impressions,CTR,Position
Australia,1,22,4.55%,59.77
Sri Lanka,1,8,12.5%,70.5
Finland,1,4,25%,42
United States,0,845,0%,70.59
Philippines,0,540,0%,63.47
India,0,517,0%,63.48
Indonesia,0,308,0%,54.61
Vietnam,0,254,0%,56.67
Thailand,0,224,0%,51.14
Malaysia,0,210,0%,61.42
Turkey,0,188,0%,59.84
Bangladesh,0,182,0%,58.01
United Kingdom,0,167,0%,65.61
France,0,133,0%,61.83
Spain,0,122,0%,65.52
Mexico,0,119,0%,54
Russia,0,97,0%,47.37
Saudi Arabia,0,79,0%,54.04
Ukraine,0,74,0%,46.01
Pakistan,0,69,0%,61.64
Jordan,0,64,0%,53.05
Morocco,0,64,0%,55.3
Canada,0,55,0%,82.18
Algeria,0,44,0%,52.8
Brazil,0,44,0%,70.5
Italy,0,34,0%,86.94
Poland,0,30,0%,89.83
Germany,0,19,0%,68.58
Israel,0,18,0%,80.72
United Arab Emirates,0,16,0%,85.44
Netherlands,0,12,0%,69.42
New Zealand,0,10,0%,51.3
Kenya,0,10,0%,95.4
Iraq,0,9,0%,54.22
Qatar,0,9,0%,90.22
China,0,8,0%,28.5
Myanmar (Burma),0,8,0%,77.62
Singapore,0,7,0%,34.14
Nigeria,0,7,0%,71.29
Switzerland,0,7,0%,78.14
Egypt,0,7,0%,89.43
Belgium,0,6,0%,48.5
Sweden,0,6,0%,57.5
Norway,0,6,0%,64.17
Georgia,0,6,0%,75.33
Tunisia,0,6,0%,81.67
Denmark,0,5,0%,56.6
Romania,0,5,0%,63
Portugal,0,5,0%,70.8
Greece,0,5,0%,73.4
Bosnia & Herzegovina,0,5,0%,79.2
Austria,0,4,0%,58.25
Estonia,0,4,0%,83.25
Armenia,0,4,0%,87.5
Japan,0,3,0%,35
Czechia,0,3,0%,59
Cambodia,0,3,0%,69.33
Mongolia,0,3,0%,84.67
Azerbaijan,0,3,0%,89.33
Hungary,0,3,0%,93
Latvia,0,3,0%,93.67
Cyprus,0,2,0%,8
South Korea,0,2,0%,28
Bahrain,0,2,0%,46.5
Kazakhstan,0,2,0%,47.5
Lithuania,0,2,0%,48.5
Slovakia,0,2,0%,49
Serbia,0,2,0%,51
Malta,0,2,0%,52
Syria,0,2,0%,66
Ghana,0,2,0%,72
Peru,0,2,0%,81.5
Hong Kong,0,2,0%,82.5
Bulgaria,0,2,0%,89.5
Brunei,0,2,0%,91
Argentina,0,2,0%,94
Zimbabwe,0,1,0%,1
Iran,0,1,0%,6
Costa Rica,0,1,0%,8
Zambia,0,1,0%,9
Ethiopia,0,1,0%,10
Taiwan,0,1,0%,11
Ireland,0,1,0%,71
South Africa,0,1,0%,82
Colombia,0,1,0%,84
Venezuela,0,1,0%,89
Montenegro,0,1,0%,94
Croatia,0,1,0%,95
Botswana,0,1,0%,97
Jamaica,0,1,0%,98
Nepal,0,1,0%,98
Belarus,0,1,0%,99
Palestine,0,1,0%,99
