Date,Not indexed,Indexed,Impressions
2026-07-27,,,0
2026-07-28,,,0
2026-07-29,,,12
2026-07-30,,,177
2026-07-31,,,384
2026-08-01,,,344
2026-08-02,,,333
2026-08-03,,,239
2026-08-04,,,139
2026-08-05,12,22,135
2026-08-06,12,23,164
2026-08-07,12,23,94
2026-08-08,12,23,67
2026-08-09,12,23,281
2026-08-10,12,23,202
2026-08-11,12,23,156
2026-08-12,12,23,283
2026-08-13,12,23,268
2026-08-14,12,23,122
2026-08-15,12,23,133
2026-08-16,12,23,157
2026-08-17,12,23,150
2026-08-18,10,25,179
2026-08-19,10,25,165
2026-08-20,10,25,224
2026-08-21,10,25,174
