Country,Clicks,Impressions,CTR,Position
United States,1,1163,0.09%,60.79
Philippines,1,927,0.11%,65.54
Australia,1,43,2.33%,51.02
Finland,1,10,10%,22.5
Sri Lanka,1,10,10%,58.3
India,0,918,0%,64.91
Vietnam,0,464,0%,62.11
Indonesia,0,413,0%,57.1
Bangladesh,0,337,0%,62.8
Malaysia,0,297,0%,63.81
Thailand,0,295,0%,55.15
Turkey,0,282,0%,61.01
Mexico,0,241,0%,59.89
United Kingdom,0,201,0%,62.36
France,0,147,0%,61.31
Spain,0,136,0%,65.13
Morocco,0,101,0%,60.16
Russia,0,99,0%,47.14
Ukraine,0,94,0%,49.65
Saudi Arabia,0,88,0%,55.56
Pakistan,0,80,0%,57.91
Jordan,0,77,0%,55.81
Algeria,0,72,0%,56
Canada,0,67,0%,71.63
Brazil,0,44,0%,70.5
Italy,0,36,0%,84.61
Poland,0,34,0%,82
Germany,0,26,0%,52.85
Netherlands,0,22,0%,44.77
United Arab Emirates,0,21,0%,67.76
Israel,0,20,0%,77.5
Singapore,0,16,0%,23.44
Iraq,0,13,0%,53.38
Nigeria,0,12,0%,49.42
Sweden,0,11,0%,35.64
New Zealand,0,11,0%,47
China,0,10,0%,24.4
Norway,0,10,0%,42.1
Qatar,0,10,0%,82.1
Kenya,0,10,0%,95.4
Romania,0,9,0%,42.56
Tunisia,0,9,0%,57.22
Myanmar (Burma),0,9,0%,70.22
Egypt,0,9,0%,71.78
Belgium,0,8,0%,38.5
Portugal,0,8,0%,47.75
Georgia,0,7,0%,64.71
Switzerland,0,7,0%,78.14
Japan,0,6,0%,19.83
Cambodia,0,6,0%,39
Denmark,0,6,0%,48.5
St. Lucia,0,5,0%,7.4
Austria,0,5,0%,48.8
Estonia,0,5,0%,68.6
Greece,0,5,0%,73.4
Bosnia & Herzegovina,0,5,0%,79.2
Iran,0,4,0%,6.75
Aruba,0,4,0%,10
South Korea,0,4,0%,18.25
Ghana,0,4,0%,41.25
Hong Kong,0,4,0%,45.25
Czechia,0,4,0%,46
Azerbaijan,0,4,0%,69.25
Latvia,0,4,0%,72.5
Hungary,0,4,0%,78.75
Armenia,0,4,0%,87.5
Kosovo,0,3,0%,6.33
Bahrain,0,3,0%,34.33
Lithuania,0,3,0%,36
Peru,0,3,0%,57
Bulgaria,0,3,0%,63
Brunei,0,3,0%,64.33
Syria,0,3,0%,64.67
Argentina,0,3,0%,75.33
Mongolia,0,3,0%,84.67
Cyprus,0,2,0%,8
Ethiopia,0,2,0%,9
Lebanon,0,2,0%,10
Slovenia,0,2,0%,11
South Africa,0,2,0%,46
Kazakhstan,0,2,0%,47.5
Slovakia,0,2,0%,49
Western Sahara,0,2,0%,50.5
Serbia,0,2,0%,51
Malta,0,2,0%,52
Nepal,0,2,0%,53.5
Jamaica,0,2,0%,54
Colombia,0,2,0%,75.5
Zimbabwe,0,1,0%,1
Cameroon,0,1,0%,6
Moldova,0,1,0%,6
Costa Rica,0,1,0%,8
Afghanistan,0,1,0%,9
Zambia,0,1,0%,9
Maldives,0,1,0%,11
Panama,0,1,0%,11
Taiwan,0,1,0%,11
Ireland,0,1,0%,71
Albania,0,1,0%,86
Venezuela,0,1,0%,89
Montenegro,0,1,0%,94
Croatia,0,1,0%,95
Botswana,0,1,0%,97
Belarus,0,1,0%,99
Palestine,0,1,0%,99
